id;word_id;sentence_id;value;postag_id;confidence_score;user_id
1;1;1;grìene;1;5;1
2;2;1;Lìnse;4;5;1
3;3;1;12;11;5;1
4;4;1;Stùnde;4;5;1
5;5;1;làng;2;5;1
6;6;1;inweiche;6;5;1
7;7;1;lon;6;5;1
8;8;1;.;15;5;1
9;9;2;'s;10;5;1
10;10;2;Gemìes;4;5;1
11;11;2;ìn;7;5;1
12;12;2;kleini;1;5;1
13;13;2;Vìereck;4;5;1
14;14;2;odder;9;5;1
15;15;2;Drejeck;4;5;1
16;16;2;schniide;6;5;1
17;17;2;.;15;5;1
18;18;3;Sie;12;5;1
19;19;3;ìm;7;5;1
20;20;3;Bùtter;4;5;1
21;21;3;schwìtze;6;5;1
22;22;3;lon;6;5;1
23;23;3;;15;5;1
24;24;3;dànn;2;5;1
25;25;3;d';10;5;1
26;26;3;Lìnse;4;5;1
27;27;3;dezügenn;6;5;1
28;28;3;.;15;5;1
29;29;4;Ànderthàlb;11;5;1
30;30;4;sovìel;2;5;1
31;31;4;Wàsser;4;5;1
32;32;4;dezüschìtte;6;5;1
33;33;4;ùn;9;5;1
34;34;4;e;10;5;1
35;35;4;Stùnd;4;5;1
36;36;4;làng;2;5;1
37;37;4;kechle;6;5;1
38;38;4;lon;6;5;1
39;39;4;.;15;5;1