id;value;CG Validée
0;S;DET
1;elsassischa;ADJ
2;Museum;NOUN
3;vu;ADP
4;Stroßburri;PROPN
5;ìsch;VERB
6;a;DET
7;Volkstum-Museum;NOUN
8;.;PUNCT
9;S;DET
10;Lawa;NOUN
11;ìm;ADP
12;Elsàss;PROPN
13;ìn;ADP
14;da;DET
15;XVIII.;NUM
16;un;CONJ
17;XIX.;NUM
18;Johrhundert;NOUN
19;wìrd;AUX
20;do;ADV
21;zeigt;VERB
22;,;PUNCT
23;dur;ADP
24;Tràchta;NOUN
25;,;PUNCT
26;Meewel;NOUN
27;,;PUNCT
28;Täpfa;NOUN
29;,;PUNCT
30;Spìelzig;NOUN
31;,;PUNCT
32;Bìlder;NOUN
33;,;PUNCT
34;Stuwa;NOUN
35;un;CONJ
36;Àtelier;NOUN
37;wo;PRON
38;nohgmàcht;VERB
39;worra;AUX
40;sìn;AUX
41;.;PUNCT
42;S;DET
43;elsassischa;ADJ
44;Museum;NOUN
45;hàt;VERB
46;aui;ADV
47;,;PUNCT
48;zitter;ADP
49;'m;DET
50;Ààfàng;NOUN
51;,;PUNCT
52;a;DET
53;großa;ADJ
54;Sàmmlung;NOUN
55;wo-n-ìhm;PRON
56;d;DET
57;Société;X
58;d';X
59;Histoire;X
60;des;X
61;Israélites;X
62;d';X
63;Alsace;X
64;et;X
65;de;X
66;Lorraine;X
67;(;PUNCT
68;Gschìchtverein;NOUN
69;vu;ADP
70;da;DET
71;Israelita;NOUN
72;vum;ADP
73;Elsàss;PROPN
74;un;CONJ
75;vu;ADP
76;Lothrìnga;PROPN
77;);PUNCT
78;gaa;VERB
79;hàt;AUX
80;.;PUNCT
81;So;ADV
82;kààt;VERB
83;ma;PRON
84;s;DET
85;kültürella;ADJ
86;Erbgüet;NOUN
87;vu;ADP
88;da;DET
89;elsassischa;ADJ
90;Juda;NOUN
91;entdecka;VERB
92;.;PUNCT
93;Dàs;DET
94;Museum;NOUN
95;befìndet;VERB
96;sìch;PRON
97;nawa;ADP
98;dr;DET
99;Ìll;PROPN
100;,;PUNCT
101;ìn;ADP
102;'ma;DET
103;Gebäi;NOUN
104;wo;PRON
105;zu;ADP
106;da;DET
107;monuments;X
108;historiques;X
109;gheert;VERB
110;,;PUNCT
111;àn;ADP
112;dr;DET
113;Àdrass;NOUN
114;:;PUNCT
115;23-25;NUM
116;Place;X
117;du;X
118;Corbeau;X
119;.;PUNCT
120;S;DET
121;Museum;NOUN
122;ìsch;VERB
123;àm;ADP
124;3.;NUM
125;Novamber;NOUN
126;1902;NUM
127;grìnda;VERB
128;worra;AUX
129;,;PUNCT
130;bim;ADP
131;Notàr;NOUN
132;Alfred;PROPN
133;Ritleng;PROPN
134;z';ADP
135;Stroßburri;PROPN
136;.;PUNCT
137;Bi;ADP
138;da;DET
139;Grìnder;NOUN
140;sìn;AUX
141;dr;DET
142;Pierre;PROPN
143;Bucher;PROPN
144;,;PUNCT
145;dr;DET
146;Ferdinand;PROPN
147;un;CONJ
148;dr;DET
149;Léon;PROPN
150;Dollinger;PROPN
151;,;PUNCT
152;dr;DET
153;Anselme;PROPN
154;Laugel;PROPN
155;,;PUNCT
156;dr;DET
157;Gustave;PROPN
158;Stoskopf;PROPN
159;,;PUNCT
160;dr;DET
161;Fritz;PROPN
162;Kiener;PROPN
163;,;PUNCT
164;dr;DET
165;Archeologue;NOUN
166;Robert;PROPN
167;Forrer;PROPN
168;un;CONJ
169;dr;DET
170;Alfred;PROPN
171;Kassel;PROPN
172;gsìì;VERB
173;.;PUNCT
174;Dr;DET
175;Kìnschtler;NOUN
176;Charles;PROPN
177;Spindler;PROPN
178;-;SYM
179;wo;PRON
180;bim;ADP
181;Notàr;NOUN
182;nìt;PART
183;derbi;ADV
184;gsìì;VERB
185;ìsch;AUX
186;-;SYM
187;hàt;AUX
188;aui;ADV
189;mìtgmàcht;VERB
190;:;PUNCT
191;ar;PRON
192;hàt;AUX
193;d;DET
194;Wàsserfàrb-Gmälta;NOUN
195;vum;ADP
196;Büech;NOUN
197;Costumes;X
198;et;X
199;coutumes;X
200;d’Alsace;X
201;gaa;VERB
202;,;PUNCT
203;un;CONJ
204;hàt;AUX
205;derfer;ADV
206;a;DET
207;Gschaftsààteil;NOUN
208;vum;ADP
209;Museum;NOUN
210;bikumma;VERB
211;.;PUNCT
212;Dia;DET
213;Bìlder;NOUN
214;sìn;AUX
215;d;DET
216;erschta;ADJ
217;Giater;NOUN
218;vum;ADP
219;züekìnftiga;ADJ
220;Museum;NOUN
221;gsìì;VERB
222;.;PUNCT
223;Dr;DET
224;Goerges;PROPN
225;Ritleng;PROPN
226;ìsch;AUX
227;Ehrapräsidant;NOUN
228;vum;ADP
229;Museum;NOUN
230;worra;VERB
231;.;PUNCT
232;S;DET
233;Museum;NOUN
234;hàt;AUX
235;àm;ADP
236;11.;NUM
237;Mai;NOUN
238;1907;NUM
239;ufgmàcht;VERB
240;.;PUNCT
241;Wahrend'm;ADP
242;erschta;ADJ
243;Waltkriag;NOUN
244;hàt;AUX
245;d;DET
246;ditscha;ADJ
247;Regiarung;NOUN
248;s;DET
249;Museum;NOUN
250;züegmàcht;VERB
251;,;PUNCT
252;wial;SCONJ
253;'s;PRON
254;züe;PART
255;vìel;ADV
256;fer;ADP
257;s;DET
258;Frànkrìch;PROPN
259;igstellt;VERB
260;gsìì;AUX
261;ìsch;AUX
262;.;PUNCT
263;Ànna;ADP
264;1917;NUM
265;hàt;AUX
266;d;DET
267;Stàdt;NOUN
268;Stroßburri;PROPN
269;s;DET
270;Museum;NOUN
271;àbkàuift;VERB
272;.;PUNCT
273;Zwei;NUM
274;Gebäi;NOUN
275;nawadràà;ADV
276;sìn;AUX
277;aui;ADV
278;kàuift;VERB
279;worra;VERB
280;,;PUNCT
281;s;DET
282;Museum;NOUN
283;hàt;AUX
284;sìch;PRON
285;vergreeßert;VERB
286;,;PUNCT
287;ìm;ADP
288;Ràhma;NOUN
289;vu;ADP
290;da;DET
291;Stàdtmuseum;NOUN
292;vu;ADP
293;Stroßburri;PROPN
294;.;PUNCT
295;Zwìscha;ADP
296;1969;NUM
297;un;CONJ
298;1985;NUM
299;hàt;AUX
300;dr;DET
301;Verwàlter;NOUN
302;Georges;PROPN
303;Klein;PROPN
304;Üstellunga;NOUN
305;ìwer;ADP
306;verschìedena;ADJ
307;Thema;NOUN
308;ufbàuia;VERB
309;.;PUNCT
310;Ar;PRON
311;hàt;AUX
312;d;DET
313;Entwìcklung;NOUN
314;vum;ADP
315;Museum;NOUN
316;ìn;ADP
317;da;DET
318;zwei;NUM
319;Gebäi;NOUN
320;nawadràà;ADV
321;gfiahrt;VERB
322;un;CONJ
323;nèia;ADJ
324;Saal;NOUN
325;ufgstellt;VERB
326;.;PUNCT
327;Zwei;NUM
328;Saal;NOUN
329;ìm;ADP
330;drìtta;ADJ
331;Stock;NOUN
332;sìn;AUX
333;làng;ADV
334;ìm;ADP
335;Wark;NOUN
336;vum;ADP
337;Pàschtor;NOUN
338;un;CONJ
339;Pädagoge;NOUN
340;Jean-Frédéric;PROPN
341;Oberlin;PROPN
342;gwìdmet;VERB
343;gsìì;AUX
344;.;PUNCT
345;Wo;PRON
346;,;PUNCT
347;ànna;ADP
348;2003;NUM
349;,;PUNCT
350;s;DET
351;Museum;NOUN
352;Jean-Frédéric;PROPN
353;Oberlin;PROPN
354;z';ADP
355;Waldersbach;PROPN
356;ufgmàcht;VERB
357;hàt;AUX
358;,;PUNCT
359;ìsch;AUX
360;dia;DET
361;Sàmmlung;NOUN
362;därt;ADV
363;ànakumma;VERB
364;.;PUNCT
365;Noh;ADP
366;da;DET
367;Faschter;NOUN
368;vum;ADP
369;100.;NUM
370;Geburstàg;NOUN
371;ànna;ADP
372;2007;NUM
373;,;PUNCT
374;ìsch;AUX
375;s;DET
376;Museum;NOUN
377;renowiart;VERB
378;worra;AUX
379;,;PUNCT
380;fer;ADP
381;ìn;ADP
382;d;DET
383;Sìcherheitsnorma;NOUN
384;ààpàssa;VERB
385;.;PUNCT
386;S;DET
387;Museum;NOUN
388;hàt;AUX
389;àm;ADP
390;15.;NUM
391;Oktower;NOUN
392;2008;NUM
393;wìder;ADV
394;ufgmàcht;VERB
395;.;PUNCT
